1766957508.343363 client started (1051671): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1766957508.343420 on Linux 6.8.0-76060800daily20240311-generic #202403110203~1714077665~22.04~4c8e9a0 SMP PREEMPT_DYNAMIC Thu A
1766957508.345622 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345632 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345641 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345650 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345659 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345667 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345675 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345685 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345694 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.345700 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345707 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345714 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345721 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345727 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.345734 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.345741 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.345747 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345754 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345761 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345768 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345774 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345781 sending message 112 to peer 0x64a1aaa260f0 (13 bytes)
1766957508.345790 sending message 112 to peer 0x64a1aaa260f0 (10 bytes)
1766957508.345798 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
1766957508.345803 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345808 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345814 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345821 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345829 sending message 112 to peer 0x64a1aaa260f0 (12 bytes)
1766957508.345835 sending message 112 to peer 0x64a1aaa260f0 (11 bytes)
